"nspp","altmed","rangoalt","shannon","tempmin","precip"
70,238,224,2.08,5,211.6
46,1362,919,2.31,-0.8,311.6
52,1120,182,1.26,-0.6,136.3
48,803,321,1.76,0,160.6
70,887,156,1.72,0.5,113.8
94,583,142,2.51,1.7,132.6
39,897,1505,2.07,1.6,462.6
44,961,212,2.31,-0.6,158.2
54,329,140,1.48,2,103.5
40,602,1002,2.13,3.1,607.1
78,586,426,1.67,5.2,379.8
82,375,148,1.97,4.1,368.6
31,1663,1089,1.03,0.9,282
54,1100,194,1.5,-0.4,195.7
59,872,71,0.7,0.2,211.6
31,1735,1714,2.28,-1.1,479.5
51,810,217,1.98,0.4,143.9
39,808,697,0.8,-0.2,139.5
38,1302,735,2.09,2,125.9
50,818,413,2.36,1.3,378.2
61,1007,448,1.48,0.1,209.8
53,1186,419,1.51,-1.6,287
59,800,199,1.46,0.7,143.5
43,1534,1720,1.9,-1.5,306.1
31,1011,1147,2.31,2.5,555.8
54,837,136,1.33,0.2,131.5
53,407,700,1.69,4.9,128
48,157,94,0.66,6.1,344.6
68,202,38,1.75,5,211.5
51,1662,970,1.61,-1.1,326.7
53,1060,300,1.63,0.6,154.8
48,845,1018,2.49,-1.2,169
61,527,63,1.88,1.9,127.7
53,1004,215,1.7,0.4,235.9
51,530,274,2.32,1.8,197.8
46,698,221,0,4,336.6
49,501,239,1.85,3.4,271
47,236,452,2.06,7.3,599.3
50,890,92,0.96,0,164
50,812,856,2.02,5.6,328.7
55,751,631,2.55,2.2,337.7
34,840,99,0.88,0.4,126.2
84,376,152,1.41,4.6,227.3
63,730,789,2.31,2.7,395.8
44,158,120,0.08,5.9,338.3
56,814,110,0.97,0.2,135.2
63,347,397,2.31,4.9,200.9
31,2337,2031,1.73,-1.7,318.4
41,804,405,1.55,1.7,149.9
35,1065,588,1.86,3.5,126.2
36,1135,1177,1.98,-1.2,170.8
54,1302,142,1.94,-1.1,232
47,601,1012,1.65,3.2,554.3
66,112,657,2.01,9.4,617.4
52,1093,218,1.95,-0.6,179.1
64,231,217,1.85,3,84.1
90,233,103,1.45,3.8,394.8
59,798,134,1.17,-0.1,142.9
47,8,33,1.4,7.1,345
49,1042,914,1.96,0,206
47,184,411,1.91,6.3,150
53,869,544,2.3,1.9,338.1
79,247,150,1.82,4.4,299.5
33,1238,419,2.16,-1,203.6
44,27,53,1.5,6.8,335.1
40,921,953,0.95,1.3,665.3
33,584,664,2.24,5.7,121.6
43,1172,666,1.9,4,291.8
58,594,523,1.66,4.1,271.5
60,793,193,1.82,0.2,236.5
49,755,77,1.17,1.1,136.6
65,114,364,1.9,5.5,537.8
53,867,295,2.22,3.5,87.4
69,841,97,1.48,0.1,169.5
46,822,113,1.52,0.4,145.6
48,1072,242,1.79,-0.5,171.3
46,734,514,2.11,0.1,400.3
55,240,82,2.37,4.9,227.5
64,540,1014,2.21,8.2,560.4
49,195,142,1.17,6.1,135.2
66,776,451,2.21,0.6,168.3
67,524,821,2.39,2.4,223
61,110,235,1.05,4.7,527.2
55,273,845,2.04,4.6,489.7
39,1466,522,1.57,2.4,147.5
71,643,900,1.91,3.5,338.6
46,1386,873,2.3,-0.5,444.3
46,835,236,1.71,2.1,317.4
41,1574,1671,2.13,-1.5,167.3
48,741,129,0.89,0.6,133.7
49,703,151,2.02,0.5,138.8
81,399,311,2.21,4.4,306.3
48,211,556,2.32,4.6,571.7
74,491,440,1.81,2,265.6
29,595,95,1.59,1.7,135.5
69,77,431,2.31,9.4,606.7
44,621,750,0.64,5,395.7
35,898,796,1.65,2,136.3
53,676,603,2.04,2.6,511.5
44,959,557,1.57,1.9,151.2
34,1150,1180,1.88,5.3,253.4
53,1479,685,1.9,0.6,189.5
52,749,275,0.94,1.2,223.1
45,702,184,1.49,0.5,152.5
44,711,591,1.44,4.4,118.8
44,911,699,2.1,3,173.1
52,931,103,1.43,-0.6,194.8
