"nspp","altmed","rangoalt","shannon","tempmin","precip"
81,246,227,1.36,4.9,236.4
63,1012,445,2.79,2.1,149.1
62,269,211,1.81,4.6,230.1
51,846,540,2.21,-0.7,149.4
68,488,664,1.84,5.7,251.8
55,1142,599,1.8,-1,397.1
60,331,137,1.94,2.4,131.4
44,716,302,1.59,1.7,206
46,840,95,2,-0.3,167
72,403,911,2.08,2.6,293.9
75,324,151,1.76,4.5,232.1
42,531,1140,2.62,7.9,379.7
44,805,123,1.1,1,151.1
65,923,203,1,3.2,105.9
55,1342,1344,2.33,4.3,288.9
71,676,676,2.11,1.6,319.1
45,362,885,2.19,3.8,448.3
70,902,195,2.11,-0.6,176.6
43,252,367,1.72,4.4,363.1
56,1141,471,1.89,-0.8,91.7
57,790,124,1.71,0.3,156.3
68,1209,325,1.56,-1.6,261.9
44,2097,2092,2.63,4,352.4
71,36,76,2.14,8.5,360.3
54,1093,786,2.04,3.8,255.6
63,237,395,1.76,3.1,97.4
57,727,353,1.89,3.7,84.8
47,966,583,2.18,2,400.6
54,541,107,1.16,2.4,185
57,762,112,1.71,0.6,177.1
45,855,157,1.74,-0.6,144.8
54,1393,415,2.07,0.6,162.1
50,1125,252,1.59,-0.8,92.3
57,1260,709,2.12,-0.8,295
46,736,838,2.35,3,402.8
51,896,296,1.87,0.2,100.3
57,668,594,1.8,2.3,350.5
76,177,132,1.95,5,223.4
53,805,541,1.88,4,81.2
55,959,384,1.69,2.9,121.3
45,61,85,1.64,7.1,340.8
69,36,199,1.85,4.1,201.6
69,1072,330,2.19,1.1,126.8
64,773,643,1.93,2.6,295.4
47,2086,1564,1.62,-1.9,221.9
59,775,934,2.11,6.4,456.1
67,1047,329,2.18,-0.9,291.9
57,971,319,2.04,0.8,289.4
55,611,493,0.69,4.7,326
65,1056,210,2.02,-1.3,182.8
47,319,538,1.53,4.6,312.4
46,896,447,2.36,1.1,341.3
72,1180,513,1.97,1.7,140.5
56,433,170,0.64,1.9,104.4
84,129,618,2.21,3,586.3
47,468,503,1.76,5.5,177.7
56,440,554,2.24,5,133.8
51,425,887,1.68,3.9,601.7
19,2126,1306,1.81,-2.1,257.7
64,655,390,1.81,4.6,321.1
63,53,227,1.85,6.6,113.9
50,633,339,1.81,3.6,82.2
39,1191,531,1.84,0,97.2
45,712,153,1.51,0.5,135.7
69,217,109,1.44,5,221.2
55,260,619,1.41,5.6,241.3
32,1158,944,2.43,0.4,201.1
57,277,1209,2.17,8.1,625.6
65,83,252,1.04,3.4,592.8
41,1040,836,1.81,1.8,280.7
59,264,253,1.92,3.1,91.5
40,1105,617,1.05,2.7,258.7
46,1290,495,2.12,-1.5,149.7
54,274,634,1.84,6.3,109.2
40,1339,1342,1.86,1.8,548.8
48,395,395,1.16,2.9,85
40,721,19,0.75,1.5,168.2
48,578,78,0.15,3.8,234.4
48,263,729,1.57,3.5,578.3
59,855,846,2.04,3.3,102.3
43,1511,1302,1.61,0.2,210.8
41,639,454,1.76,5,627.7
55,117,375,2.33,4.9,582.8
63,304,278,2.22,4.2,332.3
66,480,333,1.12,4.1,294.4
60,486,394,2.15,2.3,489
40,424,126,1.21,4.3,254.2
52,244,300,0.8,4.5,332.9
56,539,128,1.92,1.7,124.5
50,996,171,2.24,-0.1,225
52,187,553,1.74,6.3,263.9
61,708,1262,2.06,3.3,419.8
42,1403,854,2.37,-0.5,374.7
59,731,257,1.8,0.5,173.3
46,1325,526,2.17,-0.2,173
29,716,559,0.97,2.5,689.4
49,581,301,1.04,3.8,271.9
58,309,76,1.82,2.9,297.5
51,432,546,1.92,3.6,626.3
54,525,411,1.33,4,356.7
58,84,150,1.35,7.2,334.6
36,474,687,1.17,6.7,817.4
48,944,453,1.83,0.5,243.2
40,900,352,1.88,0.2,163.3
48,848,146,1.18,0.9,177.8
63,392,254,1.54,3,203.9
37,107,66,0.72,6.2,336.3
53,1094,258,1.7,-1,129.1
64,422,852,2.27,3.4,471.8
54,1083,335,1.66,-0.3,189.5
50,1048,175,1.18,-0.2,142.9
59,639,923,2.12,1.5,299.8
50,321,530,1.3,3.7,115.7
58,463,404,1.05,4.5,301.5
61,360,173,1.43,5.1,221.8
71,114,143,2.25,7.3,278.9
61,535,433,1.87,3.4,148.5
46,839,285,2.03,0.4,150.1
37,425,914,2.38,3,740.5
75,25,67,1.55,7.1,345.3
51,214,227,1.52,2.9,86.1
50,223,836,1.87,6.1,107.7
53,1369,752,1.96,-1,257.9
63,91,208,2.03,6.7,346.7
38,1069,175,1.28,-1.5,163.6
70,392,456,1.39,4.3,300.9
49,482,887,2.23,3.5,633.7
37,1275,953,1.77,-0.8,374.2
53,800,188,1.79,-0.3,147.3
57,684,646,2.18,2.4,379.5
45,668,931,1.81,1.7,598
58,406,353,1.16,4.7,229.4
49,668,700,1.26,3.5,144.4
37,733,657,1.99,2,315.8
46,802,164,0.89,0.4,144.3
45,618,345,1.57,3.5,640.7
36,1452,804,1.97,-0.7,372.6
58,978,290,2.07,-0.4,95.7
56,813,1160,1.9,1.3,416.6
59,609,133,1.46,1.9,192
29,1548,1464,2.11,-1.1,149.7
54,915,376,2.52,0.3,264.1
55,1174,422,2.53,-1.1,220.1
50,679,753,2.39,3.7,585.7
67,1129,373,2.33,-1.6,270.7
60,861,86,1.57,1,162.3
45,413,748,2.22,4,547
57,1136,445,2.1,-0.3,237.5
40,153,365,1.67,5.6,158.4
47,590,243,2.02,4,87.7
44,1308,279,1.11,-0.3,102
29,315,285,1.03,2.7,82.8
72,480,183,2.02,4.6,213.5
49,19,50,1.84,9,423
47,745,793,2.31,0.3,336.4
53,750,711,2.1,-1,218.8
46,959,632,2.52,2.2,218.5
41,410,253,0.59,2.6,89.6
44,846,409,2.02,-0.1,164.4
39,479,160,1.39,4,281
50,736,234,0.59,1.1,239.5
65,645,856,2.17,-0.2,148.1
28,1024,1187,1.66,3.3,569.5
43,697,109,0.99,2,144.1
53,1077,348,1.97,-0.3,223.3
50,387,168,1.38,2.5,161.2
73,780,850,1.98,1.4,176.6
49,1168,811,1.62,3.5,343
64,216,235,1.82,6.5,326.7
53,1362,565,2.34,0.1,206.4
56,1070,477,1.86,-0.5,200.9
48,384,1051,2.15,6.2,111.6
64,871,317,1.79,0.5,147.3
63,676,99,2.26,0.5,139.9
64,762,614,1.97,4.3,309.9
49,325,836,1.49,7.3,382.2
72,1090,417,2.4,-0.1,203.1
48,757,65,1.24,0,143.5
58,931,233,1.87,-0.7,268.2
76,278,208,1.12,4.4,314.4
44,785,415,2.13,2.1,303
47,911,165,1.46,0.3,214.5
52,790,58,0.76,0.6,123.3
36,1059,319,1.93,-0.9,150.6
60,121,424,2.13,5.8,744.9
38,703,28,1.14,1.8,166.4
49,1474,1566,1.95,3.2,276.9
48,192,72,0.65,4.9,367.6
43,63,201,1.16,8.4,313
61,194,715,2.66,5.1,523.5
41,995,402,2.18,-0.5,217.2
46,776,1019,2.05,0.9,511.3
44,148,131,0.45,4.8,379.4
50,790,288,2.26,2.3,98.1
52,699,279,2.02,1.1,131.6
47,925,122,1.62,0.4,128.2
61,811,762,2.09,3.8,310.6
59,1018,515,1.74,1,280.3
57,765,143,1.65,0.6,186.1
60,609,867,2.29,2.1,293.5
51,654,1178,1.7,7.1,645.2
39,604,260,1.49,1.9,140
42,1665,818,2,0.2,471.8
55,805,95,0.98,0.5,124
48,427,236,0.4,4.7,309
27,943,843,2.47,2.8,121.4
71,294,188,1.83,3,106.2
63,254,133,0.91,3.8,343.4
69,65,35,1.45,8.6,404.1
38,857,1124,1.92,3.4,596.7
53,685,558,1.82,4.1,100.1
44,1116,630,2.12,2.8,119.5
48,261,927,2.65,4.5,542
60,660,571,2.02,3.3,298
49,856,109,0.18,0,190.8
82,693,193,1.73,0.6,172.7
50,1366,1451,1.86,-1.9,209.3
50,967,819,1.21,1.3,162.9
60,1423,650,2.39,-0.1,228.5
62,624,741,1.94,2.1,276
57,1100,409,2.31,-0.8,230.3
53,657,997,2.09,1.6,451.5
49,44,154,1.42,5.6,145.9
71,745,201,1.8,0.3,146.7
37,1289,1964,1.85,-1.1,273.3
56,1025,339,2.42,-0.8,265.4
70,90,572,1.82,6.8,249.3
72,937,124,1.95,-0.8,185.1
42,1291,1078,2.43,-0.7,198
43,920,588,2.38,0.8,284.4
