"Species","Family","Order","BkL","BNL","BkD","BkW","TsL","WnL","SWL","KpD","TlL","HWI","Mass","Habitat","Hab.Dns","Migrt","TrphL","Trph.Nch","Life.stl","MinLat","MaxLat","CntLat","CntLon","RngSz"
"Gallicolumba rubescens","Columbidae","Columbiformes",17.2,9.9,3.8,2.9,28.8,120.6,88.2,32,65.8,26.7,60,"Shrubland",1,1,"Herbivore","Granivore","In",-9.44,-7.9,-8.14,-140.34,9.82
"Sporophila hypochroma","Emberizidae","Passeriformes",9.2,5.8,5.3,4.6,12.3,53,40.6,12.4,42,23.4,9.7,"Grassland",3,2,"Herbivore","Granivore","In",-33.78,-23.46,-28.65,-58.36,200480.73
"Lanius mackinnoni","Laniidae","Passeriformes",20.2,11.6,8.6,7.2,25.1,85,70,14.9,98.8,17.6,34.3,"Woodland",3,1,"Carnivore","Invertivore","In",-9.66,7.55,-0.64,22.18,1193617.21
"Casiornis fuscus","Tyrannidae","Passeriformes",16.2,10.6,5,5.6,19.6,75.6,64.7,9.8,72.8,13.4,19.5,"Woodland",2,1,"Carnivore","Invertivore","In",-15.81,-0.58,-7.54,-44.78,2107102.83
"Luscinia calliope","Muscicapidae","Passeriformes",16.2,8.9,3.7,3.4,28.8,78.2,59.8,17.7,63.4,22.8,18.5,"Shrubland",2,3,"Carnivore","Invertivore","Tr",32.23,70.06,57.27,112.34,10841460.62
"Platyrinchus platyrhynchos","Tyrannidae","Passeriformes",13.6,7.3,3.9,8.9,13.3,62.3,44.6,17.3,32,27.9,12,"Forest",1,1,"Carnivore","Invertivore","In",-15.89,7.67,-3.28,-62.54,5529652.29
"Calyptomena hosii","Eurylaimidae","Passeriformes",17.6,10.6,7.8,7.8,26.2,120.2,97.2,21.3,63,17.9,92,"Forest",2,1,"Herbivore","Frugivore","In",-3.35,6.54,2.39,115.31,185043.18
"Elaenia dayi","Tyrannidae","Passeriformes",16.9,8.9,5.4,5.8,27.6,97.2,85.2,12.1,97.8,12.4,34.5,"Forest",2,1,"Carnivore","Invertivore","In",3.17,5.91,4.97,-63.07,26627.09
"Sporophila corvina","Emberizidae","Passeriformes",10.7,7,7.3,5.3,17.3,52.7,44.4,9.6,42.7,17.8,10.6,"Human Modified",2,2,"Herbivore","Granivore","In",-4.8,17.98,9.56,-83.61,481827.83
"Amazona versicolor","Psittacidae","Psittaciformes",38.8,30.7,32.4,18.6,26.3,256.6,174.5,79.8,167.2,31.4,676,"Forest",1,1,"Herbivore","Omnivore","In",13.79,13.99,13.88,-60.97,142.22
"Phalacrocorax fuscescens","Phalacrocoracidae","Suliformes",59.7,47.7,13.2,10.3,61.3,263.8,173.8,90,101.5,34.1,1515,"Marine",3,1,"Carnivore","Aquatic predator","Aq",-43.64,-31.77,-37.4,141.38,203014.55
"Alisterus amboinensis","Psittacidae","Psittaciformes",28.6,21.8,22,14.1,22.4,204.8,123.5,81.2,227.5,39.7,153,"Forest",1,1,"Herbivore","Omnivore","In",-4.43,2.23,-1.9,131.24,148979.73
"Icterus icterus","Icteridae","Passeriformes",30.6,23.5,8.5,6.4,30,112.6,94.5,18.1,98.1,16.1,60.9,"Forest",2,1,"Omnivore","Omnivore","In",5.75,12.63,9,-67.61,432348.96
"Stachyris striata","Timaliidae","Passeriformes",14.6,9,3.8,3.2,17.8,62.1,52.6,9.5,51.2,15.2,13.9,"Forest",1,1,"Carnivore","Invertivore","In",13.96,18.58,16.15,121.76,20400.67
"Geositta rufipennis","Furnariidae","Passeriformes",18.6,10,4,3.7,24,101.2,77.1,23.7,60.2,23.4,32.4,"Grassland",3,1,"Carnivore","Invertivore","Tr",-46.31,-16.1,-30.51,-68.91,757788
"Hirundo rufigula","Hirundinidae","Passeriformes",8.1,4,2.6,3,10.7,96.4,51.6,44.8,54.6,46.5,15.9,"Grassland",3,2,"Carnivore","Invertivore","Ar",-14.78,-2.31,-9.52,20.48,1298041.09
"Aethopyga mystacalis","Nectariniidae","Passeriformes",16.5,11.5,2.9,3,13.5,49.1,40.4,7.7,40.6,15.9,6,"Forest",1,1,"Omnivore","Nectarivore","In",-8.78,8.52,0.53,109.91,718600.29
"Gracula religiosa","Sturnidae","Passeriformes",32.8,20.3,12,9.4,36.5,163.9,123.1,40.8,77.7,25,192,"Forest",1,1,"Herbivore","Frugivore","In",-10.32,29.93,12.13,100.97,4058797.99
"Corvus levaillantii","Corvidae","Passeriformes",60.5,40.1,21.8,17.6,55.8,308.4,200.7,108.5,174.4,35,513.1,"Woodland",2,1,"Omnivore","Omnivore","Gn",5.92,33.6,22.96,87.6,4386761.18
"Hirundo megaensis","Hirundinidae","Passeriformes",10.1,5,2,3.6,9.4,101.8,47.4,54.4,54,53.5,11,"Shrubland",3,1,"Carnivore","Invertivore","Ar",3.66,5.08,4.33,38.49,14837.09
"Muscisaxicola maclovianus","Tyrannidae","Passeriformes",17.5,9,3.5,3.5,28.9,104.1,68.8,35.3,65.8,33.9,23.8,"Grassland",3,3,"Carnivore","Invertivore","Tr",-55.98,-37.58,-47.22,-71.7,488724.37
"Eudromias morinellus","Charadriidae","Charadriiformes",18.8,11.2,4.3,3.5,35.6,147.4,64.5,81.8,66.3,55.9,108.2,"Grassland",3,3,"Carnivore","Invertivore","Tr",41.9,76.52,65.85,83.07,3830439.01
"Cyornis sanfordi","Muscicapidae","Passeriformes",16.7,9.9,4.2,5.3,17.5,83.2,68.4,14.9,65.2,17.9,20.5,"Forest",1,1,"Carnivore","Invertivore","In",0.08,1.5,0.68,123.77,2049.13
"Sphyrapicus ruber","Picidae","Piciformes",25.8,21.5,7.1,8,21.6,126.6,88.2,38.4,80.8,30.4,54.8,"Woodland",2,2,"Carnivore","Invertivore","In",32.77,61.35,50.74,-126.41,1000123.48
"Larus ichthyaetus","Laridae","Charadriiformes",73,27.4,19.5,8.9,71.5,470.8,210.2,255.2,172.8,54.7,1378.8,"Coastal",3,3,"Omnivore","Omnivore","Gn",41.47,53.6,48.59,67.41,739530.35
"Platysteira jamesoni","Platysteiridae","Passeriformes",15.2,7.8,3.5,5.8,18.1,54,49.3,4.7,24,8.8,11,"Forest",1,1,"Carnivore","Invertivore","In",-3.75,4.63,1.21,28.39,559075.89
"Psalidoprocne fuliginosa","Hirundinidae","Passeriformes",9.8,4.2,2.3,2.5,9.6,99.4,51.5,48.3,57.2,48.4,12.2,"Forest",1,2,"Carnivore","Invertivore","Ar",3.21,4.45,3.84,8.9,3496.28
"Buteogallus anthracinus","Accipitridae","Accipitriformes",39.6,25.1,17.5,12.9,78.6,355.2,239.5,106,206.2,30.7,975.1,"Woodland",2,1,"Carnivore","Aquatic predator","In",-3.68,34.7,18.62,-93.02,1898078.97
"Illadopsis fulvescens","Timaliidae","Passeriformes",18.9,10.7,4.9,4.3,23.5,70,65.9,6.6,58.1,9.1,27.9,"Forest",1,1,"Carnivore","Invertivore","In",-11.67,13.14,0.99,16.09,2855381.87
"Sericornis rufescens","Acanthizidae","Passeriformes",11.7,6.7,2.8,2.8,18.6,52.1,44.3,7.8,39.8,14.9,8.5,"Forest",1,1,"Carnivore","Invertivore","In",-4.03,-0.52,-1.27,133.32,8367.91
"Ramphocelus bresilius","Thraupidae","Passeriformes",18.3,12.1,7.6,6.7,21,82.3,70.7,11.3,80.2,13.7,32.9,"Shrubland",2,1,"Omnivore","Omnivore","In",-27.18,-6.13,-17.58,-41.22,377620.27
"Falco zoniventris","Falconidae","Falconiformes",20.6,14.8,14.7,10.2,34,218.8,111.5,107.2,141.5,49.1,174,"Forest",3,1,"Carnivore","Vertivore","In",-25.61,-11.95,-18.89,46.49,411893.8
"Celeus lugubris","Picidae","Piciformes",29.8,21.6,8.2,8.9,25.4,142.6,116.8,25.8,82.8,18,137,"Woodland",2,1,"Carnivore","Invertivore","In",-27.99,-12.97,-18.66,-59.66,841523.9
"Myrmeciza hyperythra","Thamnophilidae","Passeriformes",24.9,14.4,6.2,5.3,29.2,76.8,73.2,4.6,56.2,6.1,41,"Forest",1,1,"Carnivore","Invertivore","In",-16.04,1.37,-7.11,-69.64,1642348.58
"Amazona festiva","Psittacidae","Psittaciformes",37.3,30,29.3,16.5,24,202.6,143,61,104.3,29.8,430,"Forest",1,1,"Herbivore","Frugivore","In",-8.83,9.58,-1.03,-62.74,814389
"Turdus ruficollis","Turdidae","Passeriformes",24.3,12.6,6.2,4.9,32.1,133.6,91.8,41.9,97.5,31.3,80.6,"Forest",2,3,"Omnivore","Invertivore","In",32.8,67.93,57.29,86.95,5042530.36
"Knipolegus orenocensis","Tyrannidae","Passeriformes",16.8,9.9,4,5.3,20.1,71.8,59.2,12.5,67.2,17.4,19,"Shrubland",2,1,"Carnivore","Invertivore","In",-15.39,8.23,-3.56,-61.7,527873.68
"Oriolus chlorocephalus","Oriolidae","Passeriformes",27.4,16.6,9.7,8.8,24.9,134.6,99.7,35.1,103.4,26,49,"Forest",1,2,"Herbivore","Omnivore","In",-19.19,-3.14,-7.9,37.48,61138.59
"Cinclosoma castanotum","Cinclosomatidae","Passeriformes",21.4,10.9,5,4.3,31.9,100.1,75.1,24.1,98.3,24.3,73.3,"Woodland",2,1,"Carnivore","Invertivore","Tr",-36.41,-20.79,-28.81,129.8,2823366.52
"Parus cinctus","Paridae","Passeriformes",11,7.7,4.2,3.4,14.8,67.3,54.1,13.2,65.8,19.5,11.4,"Forest",1,1,"Omnivore","Invertivore","In",47.5,73.3,63.34,89.72,10800997.61
"Merops bulocki","Meropidae","Coraciiformes",36.3,28.7,6,5.7,12.4,100.8,74.2,26.8,93.6,26.5,23.1,"Shrubland",3,1,"Carnivore","Invertivore","In",0.79,16.78,9.95,9.13,2933973.62
"Picumnus limae","Picidae","Piciformes",11,9.4,4.7,3.4,12.1,51.3,46.8,4.5,29.7,8.8,11.3,"Forest",2,1,"Carnivore","Invertivore","In",-6.6,-2.86,-4.2,-39.32,41862.99
"Zenaida graysoni","Columbidae","Columbiformes",22.4,11.6,4.2,4.3,29,147,108.2,38.8,134,26.4,192,"Forest",1,1,"Herbivore","Omnivore","Gn",NA,NA,NA,NA,NA
"Dromococcyx pavoninus","Cuculidae","Cuculiformes",25,16.4,5.3,5.6,27.1,128.1,100,27.9,161.1,21.8,46.4,"Forest",1,1,"Carnivore","Invertivore","Tr",-27.68,10.51,-11.33,-60.45,3100662.23
"Melanerpes portoricensis","Picidae","Piciformes",29.4,20.4,6.8,7.2,20.2,119.1,89.6,29.5,76.2,24.8,59.9,"Forest",2,1,"Carnivore","Invertivore","In",17.93,18.52,18.23,-66.46,8923.08
"Coracina ostenta","Campephagidae","Passeriformes",29.7,16.2,9.2,9.2,24.2,133.8,100.9,33,106.7,24.6,68,"Forest",1,1,"Carnivore","Invertivore","In",9.04,11.94,10.58,122.74,23404.52
"Tilmatura dupontii","Trochilidae","Apodiformes",15.2,12.2,1.5,1.4,4.2,36,11.6,23.9,35.2,67.4,2.2,"Forest",2,1,"Herbivore","Nectarivore","Ar",12.65,25.88,17.48,-95.81,299191.54
"Cryptophaps poecilorrhoa","Columbidae","Columbiformes",26.3,11.2,5.7,6.4,35.1,231.3,165.7,65.6,192.3,28.4,467,"Forest",1,1,"Herbivore","Frugivore","In",-5.49,1.71,-1.57,121.11,97468.24
"Turdus unicolor","Turdidae","Passeriformes",23.1,12.9,5.7,4.7,30.3,120.5,85.4,35,81.7,29.1,64.2,"Forest",2,1,"Omnivore","Invertivore","Tr",26.92,36.46,31.78,78.11,227865.96
"Orthopsittaca manilata","Psittacidae","Psittaciformes",30.5,27.7,30.8,17,20.6,239.8,139.9,99.9,214.5,41.5,372,"Woodland",2,2,"Herbivore","Frugivore","In",-20.63,10.84,-6.22,-58.81,7148717.74
"Streptopelia vinacea","Columbidae","Columbiformes",16.5,8.8,3.3,2.8,20.2,136.4,88.8,47.2,97,34.6,110,"Shrubland",2,1,"Herbivore","Granivore","Tr",0.87,20.96,10.58,12.21,6146574.47
"Carduelis ambigua","Fringillidae","Passeriformes",14.6,9.7,6.9,5.7,14.4,78.1,50.4,27.4,45.9,35.3,15.5,"Woodland",2,1,"Herbivore","Granivore","In",17.71,31.9,24.55,101.01,858336.72
"Poospiza alticola","Emberizidae","Passeriformes",13.7,7,4.8,3.7,23,72.5,61.1,10.9,78.5,15.1,24,"Forest",2,1,"Carnivore","Invertivore","In",-9.98,-6.73,-9.22,-77.48,9865.32
"Hymenolaimus malacorhynchos","Anatidae","Anseriformes",42.2,30.1,14.7,16.1,42.2,228.2,128.1,100.2,100.5,43.8,830,"Riverine",3,1,"Carnivore","Aquatic predator","Aq",-45.92,-37.78,-41.63,172.68,54832.86
"Dendrocygna autumnalis","Anatidae","Anseriformes",50.8,34.6,16.1,18.3,52.7,240.8,163.4,79.1,66,32.7,755.3,"Wetland",3,2,"Herbivore","Herbivore terrestrial","Tr",-28.64,32.34,-4.7,-62.43,9443719.89
"Corvus hawaiiensis","Corvidae","Passeriformes",59.3,38.3,24.7,18.8,66.6,315.4,219,96.4,195.3,30.5,518.8,"Forest",1,1,"Omnivore","Omnivore","In",NA,NA,NA,NA,NA
"Celeus loricatus","Picidae","Piciformes",24.4,17.1,6.6,7,20.3,118.8,91.4,28.3,69.6,23.7,76.6,"Forest",1,1,"Carnivore","Invertivore","In",-2.66,11.48,6.51,-77.17,297945.59
"Chalcophaps indica","Columbidae","Columbiformes",21,11.1,4.1,3,25.9,144.5,101.1,42.7,85.1,29.7,136.5,"Forest",1,1,"Herbivore","Omnivore","Gn",-37,29.54,8,109.05,5343787.27
"Ardea goliath","Ardeidae","Pelecaniformes",198.8,159.8,35.3,22.8,236.6,569.6,383.8,184.2,228.6,32.5,4468,"Wetland",3,1,"Carnivore","Aquatic predator","Tr",-32.6,31.92,0.66,22.32,17833051.09
"Pyrilia aurantiocephala","Psittacidae","Psittaciformes",22.2,18.5,16.9,10.4,14,153.7,111.9,41.8,69.1,27.3,151.5,"Forest",1,1,"Herbivore","Frugivore","In",-9.6,-2.42,-6.51,-56.33,351727.85
"Parus gambeli","Paridae","Passeriformes",11.8,8.9,3.8,3.4,18.1,68.8,55.5,13.2,59.5,19.2,11.2,"Forest",1,1,"Omnivore","Invertivore","In",30.24,60.7,44.25,-115.84,2711124.48
"Buteo lagopus","Accipitridae","Accipitriformes",34.5,20.2,15.9,11.7,72.3,428.3,248.5,180.3,240,42.1,949.8,"Grassland",3,3,"Carnivore","Vertivore","In",47.6,83.11,67.33,2.14,9709846.76
"Phyllastrephus leucolepis","Pycnonotidae","Passeriformes",18,10.3,4.3,4.2,19.1,71,63.5,7.5,67.6,10.6,26.3,NA,1,1,"Omnivore","Invertivore","In",6.15,6.25,6.2,-8.18,99.24
"Phylloscopus armandii","Sylviidae","Passeriformes",11.8,6.3,2.8,2.6,20.6,61.2,49.6,11.6,50.8,19,9.4,"Shrubland",2,1,"Carnivore","Invertivore","In",24.2,45.82,35.32,107.59,2684989.68
"Nothocercus julius","Tinamidae","Tinamiformes",33,10.1,6.2,4.6,58.8,191.2,159.3,31.9,51.6,16.7,693,"Forest",1,1,"Herbivore","Omnivore","Tr",-12.54,7.98,-0.3,-76.54,139147.96
"Calyptorhynchus lathami","Psittacidae","Psittaciformes",46.3,36.8,54.1,29.3,20.8,346.6,188.5,159.2,237.6,45.8,437,"Forest",2,1,"Herbivore","Granivore","In",-37.64,-22.62,-29.86,149.61,769482.67
"Heterophasia melanoleuca","Timaliidae","Passeriformes",20.3,10.6,4.7,4.1,27.4,85.4,71.8,12.5,105.4,14.8,32.6,"Forest",1,1,"Herbivore","Omnivore","In",15.12,23.54,20.25,98.56,177773.39
"Rhipidura nigrocinnamomea","Rhipiduridae","Passeriformes",13.9,6.2,3.4,4.3,18,74.8,60.7,14.1,80.5,18.8,13,"Forest",1,1,"Carnivore","Invertivore","In",5.86,9.33,7.53,125,9000.73
"Eudyptes chrysolophus","Spheniscidae","Sphenisciformes",60.8,34.1,23.9,16.2,35.1,116.5,109.8,6.7,103.2,5.8,4485.1,"Marine",3,2,"Carnivore","Aquatic predator","Aq",-64.84,-45.97,-54.32,-39.69,48864.72
"Caprimulgus heterurus","Caprimulgidae","Caprimulgiformes",16.1,6.9,3.1,4.6,13.8,138.9,86.9,52,94.4,37.4,37,"Forest",2,1,"Carnivore","Invertivore","In",5.75,12.46,8.19,-69.59,303524.41
"Pitta iris","Pittidae","Passeriformes",26.2,17,9.1,6.9,36.8,105.4,89,14.8,37.6,14.2,62.2,"Forest",1,1,"Carnivore","Invertivore","Tr",-17.4,-11,-14.05,130.57,258796.97
"Francolinus psilolaemus","Phasianidae","Galliformes",30.2,20.3,9.9,10.6,43.1,167.3,128.5,38.5,73.8,23.1,478.3,"Shrubland",3,1,"Herbivore","Herbivore terrestrial","Tr",-1.12,11.55,5.92,38.57,65282.18
"Elaenia cristata","Tyrannidae","Passeriformes",13.1,7.6,3.5,4.8,19.1,66.2,56.2,10,56.5,15.1,18.2,"Shrubland",3,1,"Carnivore","Invertivore","In",-20.95,10.18,-5.98,-51.25,5128248.1
"Bradornis mariquensis","Muscicapidae","Passeriformes",15.8,9.1,4.5,4,22,85.8,69.4,16.4,76.5,19,25.2,"Grassland",3,1,"Carnivore","Invertivore","In",-28.17,-14.46,-22.04,22.27,1651176.93
"Heteroscelus incanus","Scolopacidae","Charadriiformes",45.1,29.1,5.1,3.5,32.9,164.6,73.3,90.5,72.2,55.3,108.2,"Wetland",3,3,"Carnivore","Aquatic predator","Tr",56.9,69.32,64.05,-133.78,1273879.07
"Stachyris oglei","Timaliidae","Passeriformes",21,12.5,6.8,4.5,30.4,71.5,68,3.5,63,4.9,33,"Forest",1,1,"Carnivore","Invertivore","In",26.89,28.21,27.47,97.08,16469.54
"Spreo fischeri","Sturnidae","Passeriformes",21.1,12.4,5.6,4.6,31.7,109.2,80.7,28.5,64,26.1,51,"Shrubland",3,1,"Carnivore","Invertivore","Tr",-5.05,5.3,0.54,40.31,642683.49
"Atlapetes tricolor","Emberizidae","Passeriformes",17.4,10.1,7.6,6,26.7,77.2,67.1,9.4,82.1,12.3,36.5,"Forest",1,1,"Omnivore","Omnivore","In",-13.19,5.54,-5.54,-76.43,74839.11
"Upucerthia validirostris","Furnariidae","Passeriformes",38.6,29.5,4.9,4,27,88.2,75.7,12.6,75.6,14.2,33.6,"Grassland",3,1,"Carnivore","Invertivore","Tr",-33.91,-21.57,-27.19,-66.94,246961.11
"Amazilia amabilis","Trochilidae","Apodiformes",21.3,16.4,1.9,2,4.3,52.3,18.3,32.8,29.2,64.2,4.3,"Forest",2,1,"Herbivore","Nectarivore","Ar",-3.98,14.18,6.51,-78.67,298612.12
"Campethera cailliautii","Picidae","Piciformes",17.6,13.3,4.9,5.9,15.1,90,75.2,14.8,60.5,16.4,41.1,"Forest",2,1,"Carnivore","Invertivore","In",-25.5,9.35,-7.64,30.87,3823971.24
"Apus acuticauda","Apodidae","Apodiformes",13,4.1,3,3.1,15.2,174,53.9,120.1,71,69,39.4,"Forest",1,3,"Carnivore","Invertivore","Ar",22.7,27.74,26.16,92.18,15660.49
"Selasphorus flammula","Trochilidae","Apodiformes",14.5,11.5,1.5,1.6,3.9,40.2,13.8,27,28.8,66.2,2.7,"Grassland",2,1,"Herbivore","Nectarivore","Ar",8.76,10.26,9.45,-83.38,4598.21
"Galerida deva","Alaudidae","Passeriformes",13.2,9.2,5.6,5,19.8,83.4,59.2,24.8,50.6,29.5,19.9,"Grassland",2,1,"Omnivore","Omnivore","Tr",10.9,27.65,20.38,76.24,832847.98
"Dicaeum hirundinaceum","Dicaeidae","Passeriformes",10.7,5.9,3.5,3.3,12.7,59.9,44.8,15.1,31.1,25.1,9,"Forest",2,2,"Omnivore","Invertivore","In",-39.48,-4.34,-25.11,134.47,6477509.49
"Myioborus castaneocapilla","Parulidae","Passeriformes",12.6,7.7,3.8,4.1,19.7,63.3,54.9,8.4,65.6,13.3,10.9,"Forest",1,1,"Carnivore","Invertivore","In",0.96,6.6,4.27,-63.53,95602.51
"Cinnyricinclus sharpii","Sturnidae","Passeriformes",17.6,8.2,4.4,4.9,21.1,102.7,74,29.5,63.9,28.5,41,"Forest",1,2,"Herbivore","Frugivore","In",-9.36,9.12,0.33,34.25,195407.09
"Cutia legalleni","Timaliidae","Passeriformes",21.9,12.2,6,4.5,26.8,85.7,70,15.1,69.8,17.8,47.2,"Forest",1,1,"Carnivore","Invertivore","In",11.3,17.25,14.22,107.53,28408.48
"Muscipipra vetula","Tyrannidae","Passeriformes",17.3,10.4,4.7,6.4,19.9,112.2,81.9,29.9,112.4,26.8,27,"Forest",1,2,"Carnivore","Invertivore","In",-30.81,-18.52,-25.14,-49.99,828420
"Myadestes melanops","Turdidae","Passeriformes",14.7,6.7,4.2,4.4,20.7,87,68.2,18.7,78.3,21.5,32.1,"Forest",1,1,"Herbivore","Frugivore","In",8.35,10.99,9.34,-83.05,31920.03
"Gallinago megala","Scolopacidae","Charadriiformes",68.4,57.5,6.7,5,32.2,134.6,74.1,60.7,56.4,45,121,"Wetland",3,3,"Carnivore","Aquatic predator","Tr",44.23,60.85,53.6,99.36,3448607.9
"Sitta formosa","Sittidae","Passeriformes",22,14.2,5,4.8,21.2,104,76.2,27,58.3,26.2,21,"Forest",1,1,"Carnivore","Invertivore","In",18.05,28.83,24.44,98.42,381262.14
"Macronous striaticeps","Timaliidae","Passeriformes",14.9,8.8,4.2,3.3,19.9,60.5,50.7,10,50.9,16.2,16.5,"Forest",1,1,"Carnivore","Invertivore","In",5.01,12.59,8.34,124.78,109828
"Melanochlora sultanea","Paridae","Passeriformes",18,11,6.1,5.5,23.3,106.3,83.2,21.7,89.4,20.7,37.6,"Forest",2,1,"Carnivore","Invertivore","In",0.78,29.03,19.6,99.45,1656290.7
"Garrulus lidthi","Corvidae","Passeriformes",37.8,22.7,14.4,10.8,44.3,173.8,146.9,26.9,166.8,15.5,125,"Forest",1,1,"Omnivore","Omnivore","In",28.01,28.52,28.28,129.41,815.32
"Mearnsia picina","Apodidae","Apodiformes",6.7,3,3.2,2.9,12.6,161.5,46,115.6,26.1,71.4,42.5,"Forest",1,1,"Carnivore","Invertivore","Ar",5.56,12.59,8.44,124.67,112656.13
"Scytalopus zimmeri","Rhinocryptidae","Passeriformes",11.5,6.2,3.5,2.5,19.9,51.4,46.4,5,32.9,9.8,15.9,"Rock",3,1,"Omnivore","Invertivore","Gn",-25.38,-18.8,-21.89,-65,53350.14
"Streptoprocne phelpsi","Apodidae","Apodiformes",7.3,3.6,1.9,2.5,14,125,32.8,92.2,58,73.8,21.8,"Forest",1,2,"Carnivore","Invertivore","Ar",-0.35,6.14,3.62,-64.24,255999.37
"Alectoris philbyi","Phasianidae","Galliformes",21.3,15.5,9.8,8.7,41.8,161,115.8,43.6,103.2,27.4,441,"Grassland",3,1,"Herbivore","Herbivore terrestrial","Tr",14.34,22.45,17.87,42.8,80634.58
"Eumyias thalassinus","Muscicapidae","Passeriformes",12,7.6,3.3,5,13.8,76.2,59.5,15.7,61,20.9,18.1,"Forest",1,1,"Carnivore","Invertivore","In",-5.95,34.91,17.79,104.13,4490414.63
"Pomatorhinus musicus","Timaliidae","Passeriformes",24.4,16.2,6.4,3.7,30.4,84,77.4,6.8,87.4,8,31.6,"Forest",1,1,"Carnivore","Invertivore","Gn",21.9,25.3,23.76,121.01,33085.2
"Chloropsis cochinchinensis","Chloropseidae","Passeriformes",20,11.8,5.1,4.1,17.6,80.1,67.5,13,67,16.1,24.5,"Forest",1,1,"Omnivore","Omnivore","In",-8.78,27.85,9.97,103.87,2616435.75
"Tropicranus albocristatus","Bucerotidae","Bucerotiformes",88,72.4,34.4,23.7,34.4,230.5,197.5,34.5,398.6,14.8,289.4,"Forest",1,1,"Carnivore","Invertivore","In",-9.46,8.9,0.99,12.79,2720422.26
"Conopophila albogularis","Meliphagidae","Passeriformes",14.4,8,3,2.8,18.5,65.9,53.4,12.3,43.7,18.8,11.8,"Forest",2,1,"Omnivore","Invertivore","In",-17.77,-0.74,-11.23,138.16,496534.41
"Taphrolesbia griseiventris","Trochilidae","Apodiformes",22.8,18.1,1.8,2.4,6,78.2,27.6,50.6,84.5,64.8,8.9,"Shrubland",2,1,"Herbivore","Nectarivore","Ar",-9.84,-6.83,-8.38,-77.59,4114.53
"Coccothraustes coccothraustes","Fringillidae","Passeriformes",23,16.6,15,12,21,102,68.6,33.6,57.2,32.9,56.6,"Forest",1,2,"Herbivore","Omnivore","In",30.4,63.38,51.17,60.81,12197802.66
"Amazilia castaneiventris","Trochilidae","Apodiformes",21.9,18.4,1.6,1.9,5.2,52,20.7,31.4,30.2,60.3,5,"Forest",1,1,"Herbivore","Nectarivore","Ar",6.21,8.06,6.79,-73.09,4916.59
"Sterna caspia","Laridae","Charadriiformes",78.7,49.1,19.2,10.4,42.6,410.7,143.1,268.2,148.7,65.1,655,"Wetland",3,3,"Carnivore","Aquatic predator","Ar",-46.99,65.99,7.58,76.67,6293644.91
"Scytalopus griseicollis","Rhinocryptidae","Passeriformes",11.9,6.7,3.5,3.3,22.3,52.6,45.6,6.8,39.8,13,18.1,"Forest",2,1,"Carnivore","Invertivore","Tr",4.17,8.21,5.65,-73.51,23912.05
"Sphecotheres viridis","Oriolidae","Passeriformes",23.2,14.2,8.4,7.2,23.4,123.7,94.5,28.8,97.2,23.4,121,"Forest",2,1,"Herbivore","Frugivore","In",-10.94,-8.33,-9.32,125.02,30023.14
"Ardea purpurea","Ardeidae","Pelecaniformes",125.9,102.5,19.6,13.6,117.5,349.7,230.8,118.2,113.2,33.9,1064.5,"Wetland",3,3,"Carnivore","Aquatic predator","Tr",-34.84,53.18,14.68,50.93,34922824.77
"Passerina amoena","Emberizidae","Passeriformes",11.8,7.3,6.1,4.8,16.8,70.4,53.9,16.5,54.2,23.4,15.5,"Shrubland",2,3,"Herbivore","Omnivore","In",29.61,52,43.16,-112.04,2824052.43
"Odontorchilus cinereus","Troglodytidae","Passeriformes",16.1,10.1,3.2,3.1,16,52.5,43.6,8.9,44.2,17,11,"Forest",1,1,"Carnivore","Invertivore","In",-15.7,-2.26,-9.29,-58.41,1047805.04
"Strigops habroptila","Psittacidae","Psittaciformes",48.7,36.3,37.5,22.4,54.5,275.1,219.2,54.6,225.1,19.9,1732.1,"Forest",2,1,"Herbivore","Omnivore","Gn",-46.79,-36.17,-41.55,170.89,57.25
"Rhynchotus rufescens","Tinamidae","Tinamiformes",41.5,26.8,8.7,8.8,56.6,208.8,164,40,56.6,20,843.5,"Grassland",3,1,"Herbivore","Omnivore","Tr",-41.17,-3.43,-20.65,-52.11,5674200.18
"Dicaeum everetti","Dicaeidae","Passeriformes",8.8,6.2,4.1,3.3,14.7,58.2,45,13.3,29.5,22.8,8.5,"Forest",1,1,"Herbivore","Omnivore","In",-0.97,6.66,2.7,113.15,152435.17
"Ptilinopus jambu","Columbidae","Columbiformes",20.2,12.2,4.7,4.6,18.1,138.4,91.9,45.3,88.4,33,135,"Forest",2,1,"Herbivore","Frugivore","In",-5.95,11.2,1.12,108.19,1406507.42
"Stigmatopelia senegalensis","Columbidae","Columbiformes",17.8,8.2,3,2.7,18.9,132.2,86.9,45.1,108.5,34.2,82.1,"Woodland",3,1,"Herbivore","Granivore","Tr",-34.84,52.67,13.86,37.37,28873137.27
"Schizoeaca coryi","Furnariidae","Passeriformes",15.2,9,3.4,2.8,21.9,56.6,49.9,6.7,84,11.9,16.8,"Grassland",2,1,"Carnivore","Invertivore","In",7.63,9.52,8.55,-71.27,9010.23
"Myiarchus ferox","Tyrannidae","Passeriformes",21.7,14.4,5.8,7.7,21.8,85.8,73.4,12.2,86.9,14.2,27.5,"Forest",2,1,"Omnivore","Invertivore","In",-30.33,10.41,-8.38,-57.25,11854121.16
