"Species","Family","Order","BkL","BNL","BkD","BkW","TsL","WnL","SWL","KpD","TlL","HWI","Mass","Habitat","Hab.Dns","Migrt","TrphL","Trph.Nch","Life.stl","MinLat","MaxLat","CntLat","CntLon","RngSz"
"Picumnus fulvescens","Picidae","Piciformes",10.2,8.7,4.2,3.7,10.3,50.2,46,5.6,29,10.8,11.3,"Forest",2,1,"Carnivore","Invertivore","In",-9.86,-5.35,-7.97,-37.11,119592.59
"Garrulax gularis","Timaliidae","Passeriformes",29.4,19,7.7,6.4,39,102.1,96,5.6,101.2,5.5,92,"Forest",1,1,"Carnivore","Invertivore","Tr",17.62,29.01,25.24,96.29,307618.65
"Xenoglaux loweryi","Strigidae","Strigiformes",14.6,9.8,9.6,6.2,20.1,103.5,73.7,29.8,54,28.9,48,"Forest",1,1,"Carnivore","Invertivore","In",-6.11,-5.55,-5.75,-77.84,1624.29
"Geotrygon montana","Columbidae","Columbiformes",19.5,9,4.4,3.5,26.9,136.5,99.2,36.7,76.3,27.1,133.9,"Forest",1,1,"Herbivore","Omnivore","Tr",-32.04,24.36,-5.71,-59.94,13251114.74
"Stachyris erythroptera","Timaliidae","Passeriformes",16,9.8,4,3.4,21.1,59.7,53.8,5.6,48.2,9.4,12.6,"Forest",1,1,"Carnivore","Invertivore","In",-5.95,11.39,1.05,108.22,1300790.89
"Ptilinopus aurantiifrons","Columbidae","Columbiformes",18.6,9.6,4.4,4.7,23.1,128,89.2,38.8,60.8,30.4,152,"Forest",2,1,"Herbivore","Frugivore","In",-10.73,-0.34,-5.11,139.4,479657
"Onychorhynchus mexicanus","Tyrannidae","Passeriformes",22.1,13.2,4.4,8.2,15.8,81.7,65.8,16.3,66.8,19.9,19,"Forest",1,1,"Carnivore","Invertivore","In",6.19,21.61,13.17,-83.19,888001
"Oriolus phaeochromus","Oriolidae","Passeriformes",30.9,17.8,9.5,8.7,24.8,133.2,105.6,27.7,92.1,20.7,109,"Forest",1,2,"Omnivore","Omnivore","In",-0.92,2.23,0.87,128.01,18108.91
"Pteridophora alberti","Paradisaeidae","Passeriformes",23.4,12.5,7.1,5.6,33.1,120.9,98.7,22.2,76.3,18.3,81.8,"Forest",1,2,"Herbivore","Frugivore","In",-7.41,-3.11,-4.9,140.99,109282.79
"Anthreptes neglectus","Nectariniidae","Passeriformes",19.1,12.3,3.6,3.5,17.1,69.2,58.1,9.9,54,14.4,11.8,"Forest",1,1,"Omnivore","Omnivore","In",-14.84,-1.37,-7.54,38.35,250651.55
"Buteo lineatus","Accipitridae","Accipitriformes",33.1,20.3,16.3,11.8,74.1,319,212.8,106.9,172.8,33.4,603.7,"Woodland",1,3,"Carnivore","Vertivore","Ar",24.95,47.85,37.72,-86.88,3542030.5
"Certhia hodgsoni","Certhiidae","Passeriformes",18.6,11.9,2.6,2,15.3,63.4,52,10.3,54.3,16.5,9,"Forest",1,1,"Carnivore","Invertivore","In",25.09,36.79,30.2,91.37,539884.48
"Meliphaga montana","Meliphagidae","Passeriformes",21.7,10.6,4.6,3.3,22.1,82.2,69.2,12.1,67.7,14.9,28,"Forest",1,1,"Omnivore","Omnivore","In",-10.15,-0.4,-4.36,141.05,121416.33
